From,To
 and , & 
 och , & 
 en , & 
 und , & 
(pte),
(pvt),
(pjsc),
development,dev
group,grp
financing,fing
financial,fina
finance,fine
designated activity company,dac
limited partnership,lp
generation,gen
investment,invest
limited,ltd
company,co
public ltd co,plc
public co ltd,pcl
corporation,corp
ltd liability co,llc
aktg,ag
incorporated,inc
holdings,hldgs
holding,hldgs
international,intl
government,govt
berhad,bhd
golden,gld
resources,res
resource,res
shipping,shp
partners,prt
partner,prt
associates,assoc
associate,assoc
groep,grp
generation,gen
investment,invest
financial,fin
spolka z ,sp z 
ograniczona odpowiedzialnoscia,oo
sp z oo,spzoo
sp z o o,spzoo
sanayi ve ticaret,sanayi ticaret
sanayi,san
ticaret,tic
sirketi,sti
san tic ltd sti,santicltdsti
san tic anonim sti,santicanonimsti
1,one
2,two
3,three
4,four
5,five
6,six
7,seven
8,eight
9,nine
0,null
